id,title
80321,Huyện Châu Thành
80307,Huyện Hồng Ngự
80319,Huyện Lai Vung
80317,Huyện Lấp Vò
80309,Huyện Tam Nông
80311,Huyện Thanh Bình
80313,Huyện Tháp mười
80305,Huyện Tân Hồng
80301,Thành phố Cao Lãnh
80323,Thành phố Hồng Ngự
80303,Thành phố Sa Đéc
